"X","id","titulo","pago","numInscritos","avaliacao","numCriticas","desconto","preco"
11683,2996840,"How To Effectively Manage Your Business Through A Crisis","False",1194,4.12288,34,0,0
11684,202440,"Budgeting For A Home Within Your Means","False",6254,3.61459,33,0,0
11685,1773806,"Invest like the best (for the rest of us)","False",3550,4.12158,33,0,0
11686,2159742,"Open Your Day Trading Account in 5 Easy Steps","False",2821,3.74524,33,0,0
11687,3145150,"Intro to Cryptocurrency Futures with Kraken Futures","False",1436,4.35502,32,0,0
11688,3110468,"ABSOLUTE BEGINNERS Guide to Start Investing","False",476,4.37988,31,0,0
11689,2460190,"Leading Traders Give Their Best Strategies (Corona updated)","False",3366,3.72713,29,0,0
11690,1979154,"Forex Trading: How to Get Started and Build Your Edge","False",1106,4.38556,26,0,0
11691,2435664,"HOW TO BUY, STORE AND TRACK BITCOIN AND CRYPTOCURRENCIES","False",1930,3.6848,26,0,0
11692,2947254,"Charts Sniper - ThinkorSwim Platform Setup","False",1210,4.08557,25,0,0
11693,2304564,"Singapore Savings Bonds","False",1913,3.98435,25,0,0
11694,2504298,"Momentum Trading for Profit - (Coronavirus Updated)","False",3756,3.59558,25,0,0
11695,1777540,"Build Your Own Financial Planning Spreadsheet","False",4212,3.94719,24,0,0
11696,1927744,"A Card is Born: Beginners' Guide to Credit Cards","False",2778,3.68623,22,0,0
11697,3383786,"Earning passive income in crypto market","False",3695,4.2714,21,0,0
11698,2677394,"Financial Modelling for Mining Companies - Masterclass","False",938,4.12956,20,0,0
11699,3152590,"Free Course to making daily profits trading Crypto","False",904,4.27814,20,0,0
11700,1981478,"Financial Planning For Long-Term Care","False",2497,4.71842,20,0,0
11701,3057100,"Intro to Quantitative Financial Modeling in Excel","False",2450,4.83056,19,0,0
11702,3081904,"forex candlestick patterns,technical analysis of daily trade","False",2959,4.18861,20,0,0
11703,2629216,"Real Estate Essentials","False",1312,3.72198,19,0,0
11704,2736816,"GST/HST for Canadian Small Businesses","False",341,3.81614,20,0,0
11705,3286882,"Level 1 - Your First Steps to Financial Freedom","False",963,4.43974,19,0,0
11706,3082052,"technical analysis of forex, Trendline","False",2403,3.77998,18,0,0
11707,3077552,"FREE Bitcoin & Cryptocurrency Investing Starter Course 2020","False",2305,4.18598,18,0,0
11708,3255896,"7 Passive Income Ideas & Strategies That Actually Profit","False",3742,4.06941,17,0,0
11709,3244080,"The Ultimate Starter Guide To Becoming A Profitable Trader","False",751,4.44377,17,0,0
11710,2852604,"E-Way Bills under Goods & Services Tax","False",1083,4.59504,16,0,0
11711,1465186,"Boost your credit score","False",1865,3.99485,16,0,0
11712,3107438,"Fundamentals of Management Accounting","False",1161,3.6411,15,0,0
11713,3357090,"Stock market prediction through Financial astrology","False",1807,1.51952,15,0,0
11714,3284476,"Financial Literacy in Times of Crisis","False",767,4.3907,16,0,0
11715,3037376,"Decision Making Techniques |Pricing|Costing|ACCA|CIMA|F5|","False",1821,4.32871,14,0,0
11716,2789684,"The Psychology of Risk For Traders","False",1912,4.14543,14,0,0
11717,3345642,"Introduction to Accounting","False",574,4.17035,13,0,0
11718,2908674,"Personal Finance","False",572,4.1307,13,0,0
11719,1656084,"Crypto Class On The Road (Altcoins, Exchanges, Bullruns)","False",2151,3.99102,13,0,0
11720,2732954,"Charts Sniper Stocks and Options Courses Overview","False",3368,3.72993,13,0,0
11721,2382037,"Economics : How consumer makes buying decision","False",1316,3.64816,12,0,0
11722,3237369,"Improve your Forex Trading Skills.","False",676,3.92091,11,0,0
11723,2164436,"Digital Independence using STEEM Infrastructure","False",1590,4.09781,10,0,0
11724,3252126,"Stock Analysis Introductory Course - ZOOM Stock Analysis","False",840,4.51729,10,0,0
11725,2918240,"Personal Finance : A Key to Survival","False",1163,4.20872,9,0,0
11726,3379072,"Finance for Non Finance","False",428,3.96994,9,0,0
11727,2313426,"The Complete Guide to Wealth Creation","False",1101,3.79936,9,0,0
11728,2775092,"Managing freelancer finances","False",1883,3.78001,8,0,0
11729,3254514,"Priceaction Masterclass : 3 Powerful Intraday Trading Setups","False",522,4.11127,10,0,0
11730,2731598,"Short Course: The Classic 9-5 Job Vs Entrepreneur","False",831,3.86216,8,0,0
11731,3109528,"QuickBooks Online For An Amazon Merchant Store","False",1016,3.95732,8,0,0
11732,2382745,"Intro to Quant Algorithms w/ R & Alphien","False",3389,2.62986,8,0,0
11733,2876364,"Stock Talk by SmallCapMillionaires","False",937,2.78817,8,0,0
11734,2950600,"Best Forex Strategies Playbook","False",1195,3.7075,7,0,0
11735,3424610,"Accounting- Financial Accounting, Cash vs Accrual Accounting","False",388,4.36047,7,0,0
11736,1973848,"How to Pay It Forward: Saving for the Purpose of Legacy","False",1164,3.81683,7,0,0
11737,3192906,"Introduction To Swing Trading With Options","False",690,3.63711,6,0,0
11738,3261876,"Fixed Income in Python","False",3008,4.14745,6,0,0
11739,1639602,"WordPress Web Design & Email Marketing","False",2779,3.8528,6,0,0
11740,3086658,"Automate Your Finances and Savings to Get more 'Me' time","False",1121,3.08827,5,0,0
11741,3265430,"Estimate and Calculate Costing for Packaging","False",409,3.33148,5,0,0
11742,3412122,"Bitcoin Trading: Trade Bitcoins & Cryptocurrency Course 2020","False",1215,2.7503,4,0,0
11743,3393766,"Great Investments Programme","False",432,3.83214,4,0,0
11744,3179812,"Mutual Funds - A to Z","False",904,4.12339,4,0,0
11745,3354718,"Level 2 - Your First Steps to Financial Freedom","False",1150,3.65905,4,0,0
11746,3008498,"What Happens if I cant Pay My Home Loan-FREE","False",1048,4.48664,3,0,0
11747,2981832,"Income Statement with Pivot Tables in Excel","False",66,3.07182,3,0,0
11748,2308626,"Safeguard Your Cryptocurrency Legacy 2020","False",1973,4.63043,3,0,0
11749,3237487,"Eco-Conscious Finance (Minus the Greenwashing B.S.)","False",366,4.57386,3,0,0
11750,2664074,"Beating Mortgage Stress","False",787,3.6325,3,0,0
11751,3394874,"MINIMALIST TRADER","False",457,5,3,0,0
11752,3404900,"Accountancy For All","False",798,4.21348,3,0,0
11753,3209535,"Learn O Levels / IGCSE Accounting with ARD","False",339,3.62924,2,0,0
11754,1310506,"Hedge Trading and Trading History Informations","False",446,1.54438,2,0,0
11755,3452020,"Swing Trading Options: Master Cash-Flow","False",1364,3.85714,2,0,0
11756,1241304,"How to control your entire financial world easily?","False",1373,3,1,0,0
11757,3285106,"Stock Analysis for Beginners - Domino's Pizza Case Analysis","False",801,4.5,1,0,0
11758,3239409,"Fundamentals of Shipping Finance","False",324,3.5,1,0,0
11759,2613490,"Learn How To Invest Like An Expert | Rule #1 Academy","False",1012,2.5,1,0,0
11760,2580766,"Mastering Student Loans","False",370,0,0,0,0
11761,3357260,"The Weighted Average Cost  of Capital course 2020","False",409,0,0,0,0
11762,3485052,"Trading Trend Like A Pro : Perfect Strategy for Trend Trader","False",314,0,0,0,0
11763,3478942,"Learn Accounting","False",273,0,0,0,0
11764,2894856,"Protecting Vulnerable Investors","False",320,0,0,0,0
11765,3377594,"Personal Finance Masterclass","False",401,4,1,0,0
11766,3429502,"Introduction to Excel for Finance and Accounting","False",735,5,1,0,0
13394,2108968,"Minicurso Gratuito - Introdução a Investimentos","False",26280,4.40268,2547,0,0
13395,1481484,"Blockchain: O que todos devem saber","False",21619,4.61392,1975,0,0
13396,1403370,"Aprenda Ganhar Dinheiro no Mercado de Ações - Básico","False",19854,4.20669,1915,0,0
13397,1572996,"Curso inicial en Criptomonedas y trading: Bitcoin ETH TRX","False",20457,4.44926,1529,0,0
13398,820830,"Como sair das dívidas","False",11364,4.55809,1326,0,0
